experiment,coating,initial_density,0-0,0-1,0-2,1-1,1-2,2-2,zero_count_0,zero_count_1,zero_count_2
Fibronectin_0_625_-40-F5-F05,Fibronectin,0.625,0.4663002157153049,0.4621776088420283,0.8441265411900833,0.3546521203302661,0.3310737041513093,3.173513839301891,0.6410942877551936,0.7566572919193135,0.23624373038735055
Fibronectin_0_625_-41-F6-F06,Fibronectin,0.625,0.7154272251722399,0.7702389083064181,1.1013246684131481,0.6894251890537659,1.045838812506895,2.545952992552395,0.6661120195518981,0.7037397203746032,0.43331085469420333
Fibronectin_0_625_-42-F7-F07,Fibronectin,0.625,0.791665433549174,0.3883705175346906,0.7863416089604099,0.7688474239829065,0.5554663220922228,2.561619190820419,0.6000756910250944,0.7211499885779776,0.3682781426535377
Plastic_0_313_-46-G2-G02,Plastic,0.313,0.6108024251549912,0.6338595783453103,1.0102403187793492,0.6483138826279775,1.258053090644195,1.774953111223343,0.3800937117594901,0.4763315297108621,0.19375726677374572
Plastic_0_313_-47-G3-G03,Plastic,0.313,0.6705631171917269,0.8657197424991975,1.1559784165602423,0.49419007124148134,0.7360494732224022,2.354303344498424,0.37682762388427654,0.4996229080658453,0.16940011544028996
Plastic_0_313_-48-G4-G04,Plastic,0.313,0.785178114731437,0.6964897762492971,1.083546225884564,0.517429832994679,1.1610413384148837,2.237157654874669,0.43414990557450545,0.5086921932065117,0.23750010881163836
Fibronectin_10_-04-B5-B05,Fibronectin,10.0,0.7021399245364933,1.068764348796326,1.2772550292025224,0.5041837541836579,0.9731793242954115,0.8254587959820586,0.005178006927829257,0.024923795637949882,0.004212420532140549
Fibronectin_10_-05-B6-B06,Fibronectin,10.0,0.6590090609650496,0.9684376311114545,1.306180362015036,0.4269539566523098,1.0322416725060743,0.881559489182101,0.02050863223735981,0.06717368729505453,0.00834606376591999
Fibronectin_10_-06-B7-B07,Fibronectin,10.0,0.6436536378030614,1.141850347932323,1.2317548435456964,0.6032937492664439,1.1390242515779514,0.7441447058693215,0.00028389974649567804,0.001820036811025682,0.00030453552749602373
PDK_0_313_-52-G8-G08,PDK,0.313,0.628011895137465,0.2873093477290734,1.2676267019376852,0.6990535772237754,1.1440754463961287,2.556514563578215,0.5388747390454635,0.6098834785494763,0.28915704334927544
PDK_0_313_-53-G9-G09,PDK,0.313,0.8332793226437342,1.02836915090944,0.7022674132626257,0.7762254246246512,0.9645966931845401,1.8623257094721541,0.452782446553083,0.4991822631490746,0.2993386425444308
PDK_0_313_54-G10-G10,PDK,0.313,1.0289573650362427,0.3552974614353746,0.045358375865246506,2.456972397819259,0.5110724154215742,4.634682459204962,0.7080403650915307,0.6391217970802746,0.5015311229943195
Plastic_10_corrected_density_-01-B2-B02,Plastic,10.0,0.6365855752866338,1.0453626701468983,1.203963401903893,0.5324258496580523,1.0868571948007886,0.9041247883086019,0.030962627725355067,0.04472115273234694,0.008169044495928687
Plastic_10_corrected_density_-02-B3-B03,Plastic,5.0,0.6540302267677569,0.8541647197250556,1.2798800856855572,0.492356689299776,1.017013668145723,1.0710109520465492,0.049983654124218846,0.1041964646803991,0.013309106797026005
Plastic_10_corrected_density_-03-B4-B04,Plastic,10.0,0.6533532242382423,0.9277536142773172,1.2540740311052174,0.4677708298286279,1.0116640122376934,1.0164548787038017,0.04001327230734689,0.08791613589327589,0.012090947235151573
Plastic_0_625_-37-F2-F02,Plastic,0.625,0.7024396637141103,0.8449971395998351,1.1915795117803614,0.4996425302471522,0.8755394731475925,1.7132884323288426,0.3218217899559215,0.46652353553971165,0.1710803409860008
Plastic_0_625_-38-F3-F03,Plastic,0.625,1.3497943107025827,0.31983108235833063,0.6070782017955134,1.0473179006789604,0.15329102378838025,2.5139240702122185,0.4549885520502295,0.6190708735910792,0.2269837145475059
Plastic_0_625_-39-F4-F04,Plastic,0.625,0.9221001142042532,0.5029181255889548,0.5143081701923743,1.3271111524279646,1.1028971708302147,2.5124503663972764,0.5384412324046427,0.4975414067227084,0.25033962467156
Plastic_1_25_-28-E2-E02,Plastic,1.25,0.7523799819566024,0.6444640414065903,1.2156811819528375,0.5382206451170773,1.0107924039557743,1.4023542077312963,0.2972951103928314,0.4506289204838988,0.14992724090856002
Plastic_1_25_-29-E3-E03,Plastic,1.25,0.7788018712294562,0.5924381245420425,0.8934631585289698,1.1979167248543454,1.0016913340676983,2.8420207517114617,0.5010413429434873,0.5489541211004418,0.23766921620945744
Plastic_1_25_-30-E4-E04,Plastic,1.25,0.7394721816786871,0.4651200494608716,1.2799018812495153,1.0312722257862217,0.6921492086640382,2.005925159896745,0.38341020466110615,0.47835395070111947,0.22804639944491492
Fibronectin_5_-13-C5-C05,Fibronectin,5.0,0.6913221201369444,0.8983387013077292,1.3365464392842967,0.4384420118215566,0.9476485519173048,1.1735930200440066,0.07752497155216723,0.1581697796956582,0.028863115022460993
Fibronectin_5_-14-C6-C06,Fibronectin,5.0,0.6773935271090692,0.8942357635280176,1.2727084348992797,0.4230738574466067,0.9700790957286671,1.0420805113955136,0.0460335142204236,0.12012655468819104,0.017558175672935394
Fibronectin_5_-15-C7-C07,Fibronectin,5.0,0.6886215525729148,0.8133905890070228,1.3565741658712303,0.4225277007656097,0.8562802760378465,1.2367587897621763,0.10381316343901259,0.22696226889190638,0.03632229375349014
PDK_10_corrected_density_-07-B8-B08,PDK,5.0,0.7031582079533709,0.7391872918232592,1.1882405898913835,0.3969477861291699,0.9203976551333808,1.308992349847164,0.07670672782174814,0.16863997933015482,0.016388913342647457
PDK_10_corrected_density_-08-B9-B09,PDK,10.0,0.6272007128181033,0.9586009497028118,1.210672658784189,0.5151959442376818,1.0914950072982788,1.015690347774252,0.028583060119438456,0.058526151961222135,0.009583756763933762
PDK_10_corrected_density_09-B10-B10,PDK,10.0,0.6670565335197385,0.8917927662525044,1.3127160456358027,0.45043343752080794,0.9692326670542627,1.2576474015773722,0.059765865211254564,0.12527677579583088,0.01542511903293558
Fibronectin_1_25_-31-E5-E05,Fibronectin,1.25,0.569311316566686,0.5682443900635358,1.114613028590613,0.4962238812622287,0.693904243315255,1.7814993237278296,0.421870156780019,0.5516569411492258,0.14913241685977396
