cell,time,death,apoptosis,total_apoptosis,Tcell_death,total_Tcell_death,total_death,experiment_id
tumor_70044,0.13333333333333333,apoptosis,1,1,0,0,1,tumor_tcell_20210709.161551/
tumor_70859,0.25,apoptosis,1,2,0,0,2,tumor_tcell_20210709.161551/
tumor_71042,0.36666666666666664,apoptosis,1,3,0,0,3,tumor_tcell_20210709.161551/
tumor_63761,0.5666666666666667,apoptosis,1,4,0,0,4,tumor_tcell_20210709.161551/
tumor_69155,0.7166666666666667,apoptosis,1,5,0,0,5,tumor_tcell_20210709.161551/
tumor_62159,0.8666666666666667,apoptosis,1,6,0,0,6,tumor_tcell_20210709.161551/
tumor_60815,0.8833333333333333,apoptosis,1,7,0,0,7,tumor_tcell_20210709.161551/
tumor_60917,0.9333333333333333,apoptosis,1,8,0,0,8,tumor_tcell_20210709.161551/
tumor_70063,0.9333333333333333,apoptosis,1,9,0,0,9,tumor_tcell_20210709.161551/
tumor_74353,1.05,apoptosis,1,10,0,0,10,tumor_tcell_20210709.161551/
tumor_60959,1.0666666666666667,apoptosis,1,11,0,0,11,tumor_tcell_20210709.161551/
tumor_62238,1.0833333333333333,apoptosis,1,12,0,0,12,tumor_tcell_20210709.161551/
tumor_74783,1.1166666666666667,apoptosis,1,13,0,0,13,tumor_tcell_20210709.161551/
tumor_67848,1.1333333333333333,apoptosis,1,14,0,0,14,tumor_tcell_20210709.161551/
tumor_62500B,1.15,apoptosis,1,15,0,0,15,tumor_tcell_20210709.161551/
tumor_62364,1.1666666666666667,apoptosis,1,16,0,0,16,tumor_tcell_20210709.161551/
tumor_70081B,1.25,apoptosis,1,17,0,0,17,tumor_tcell_20210709.161551/
tumor_60863,1.5666666666666667,apoptosis,1,18,0,0,18,tumor_tcell_20210709.161551/
tumor_62424,1.6,apoptosis,1,19,0,0,19,tumor_tcell_20210709.161551/
tumor_60845,1.6166666666666667,apoptosis,1,20,0,0,20,tumor_tcell_20210709.161551/
tumor_63629,1.6333333333333333,apoptosis,1,21,0,0,21,tumor_tcell_20210709.161551/
tumor_75146,1.7666666666666666,apoptosis,1,22,0,0,22,tumor_tcell_20210709.161551/
tumor_70018,1.85,apoptosis,1,23,0,0,23,tumor_tcell_20210709.161551/
tumor_71128A,1.9166666666666667,apoptosis,1,24,0,0,24,tumor_tcell_20210709.161551/
tumor_60516A,1.9833333333333334,apoptosis,1,25,0,0,25,tumor_tcell_20210709.161551/
tumor_70208,2.0166666666666666,apoptosis,1,26,0,0,26,tumor_tcell_20210709.161551/
tumor_74752,2.05,apoptosis,1,27,0,0,27,tumor_tcell_20210709.161551/
tumor_70070,2.0833333333333335,apoptosis,1,28,0,0,28,tumor_tcell_20210709.161551/
